,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,92.64 $\pm$ 3.91,98.89 $\pm$ 0.52,94.58 $\pm$ 1.15,98.97 $\pm$ 0.42,98.87 $\pm$ 0.58
1,20,86.02 $\pm$ 5.05,97.99 $\pm$ 0.66,92.84 $\pm$ 0.83,98.2 $\pm$ 0.49,97.88 $\pm$ 0.81
2,30,86.88 $\pm$ 4.16,98.1 $\pm$ 0.55,92.98 $\pm$ 0.8,98.24 $\pm$ 0.41,98.01 $\pm$ 0.65
3,40,79.18 $\pm$ 6.22,97.06 $\pm$ 0.8,91.63 $\pm$ 1.04,97.32 $\pm$ 0.69,96.7 $\pm$ 1.08
4,50,66.12 $\pm$ 3.37,95.21 $\pm$ 0.59,89.43 $\pm$ 1.02,95.86 $\pm$ 0.6,94.26 $\pm$ 0.9
5,60,72.47 $\pm$ 7.37,96.25 $\pm$ 0.99,90.74 $\pm$ 1.2,96.59 $\pm$ 1.04,95.64 $\pm$ 1.34
6,70,73.3 $\pm$ 9.5,96.49 $\pm$ 1.22,90.96 $\pm$ 1.69,95.28 $\pm$ 2.01,95.73 $\pm$ 1.7
7,80,74.2 $\pm$ 10.69,96.16 $\pm$ 1.49,90.72 $\pm$ 2.38,92.97 $\pm$ 4.2,93.57 $\pm$ 5.95
8,90,74.52 $\pm$ 7.5,94.45 $\pm$ 5.66,90.77 $\pm$ 1.99,91.31 $\pm$ 3.91,96.04 $\pm$ 1.12
9,100,75.57 $\pm$ 6.65,95.09 $\pm$ 3.43,90.58 $\pm$ 1.57,91.66 $\pm$ 3.14,96.22 $\pm$ 0.88
